x_m,y_m,w_tr_right_m,w_tr_left_m
-0.074888,4.774743,1.290475,1.527001
-0.113808,4.805284,1.281663,1.534446
-0.152881,4.835946,1.278309,1.518186
-0.192427,4.866978,1.269852,1.532337
-0.231744,4.897831,1.264228,1.498622
-0.270689,4.928392,1.251755,1.499513
-0.309673,4.958984,1.241677,1.550533
-0.348865,4.989738,1.232368,1.628548
-0.387984,5.020436,1.218931,1.576429
-0.42727,5.051265,1.204954,1.560331
-0.46421,5.080327,1.190607,1.580957
-0.504269,5.111902,1.176406,1.579559
-0.542301,5.141879,1.156464,1.63055
-0.580649,5.172104,1.156464,1.63055
-0.618994,5.202328,1.128477,1.599699
-0.657725,5.232856,1.107439,1.57334
-0.696348,5.263299,1.088879,1.632368
-0.734382,5.293277,1.069825,1.584612
-0.772694,5.323738,1.045509,1.594241
-0.810048,5.355609,1.02286,1.5587
-0.846093,5.389759,0.998648,1.630608
-0.880271,5.425751,0.985845,1.631462
-0.913084,5.46421,0.970081,1.619953
-0.943138,5.503499,0.955139,1.617267
-0.971366,5.544749,0.949318,1.687344
-0.99725,5.587249,0.944209,1.64091
-1.02046,5.630301,0.939962,1.650474
-1.041841,5.675489,0.940759,1.690915
-1.060683,5.721478,0.938677,1.612701
-1.076721,5.767335,0.944076,1.629755
-1.090486,5.814397,0.950356,1.698982
-1.10174,5.861938,0.958637,1.624821
-1.11054,5.910064,1.215744,1.622507
-1.117738,5.959803,1.22642,1.649375
-1.124676,6.009639,1.24601,1.527765
-1.131571,6.059169,1.256115,1.552413
-1.138402,6.10824,1.260432,1.5828
-1.145266,6.157541,1.26601,1.565088
-1.152166,6.207103,1.268209,1.603161
-1.159026,6.256381,1.268871,1.612681
-1.1659,6.30577,1.273982,1.56728
-1.172296,6.354625,1.277025,1.612219
-1.176896,6.403805,1.279207,1.696288
-1.178929,6.450953,1.290223,2.090063
-1.178473,6.502289,1.307169,2.089093
-1.175278,6.552767,1.326064,2.070954
-1.169541,6.602568,1.327817,2.018238
-1.161539,6.652367,1.181132,1.96946
-1.151858,6.701498,1.058634,1.957934
-1.140765,6.75071,0.950395,1.903271
-1.128659,6.799953,0.92824,1.858259
-1.116529,6.848823,0.906854,1.69591
-1.104359,6.897851,0.894324,1.706631
-1.092298,6.94644,0.876316,1.717036
-1.080383,6.994327,0.859063,1.667706
-1.068321,7.042458,0.851931,1.354615
-1.056195,7.090828,0.842722,1.265989
-1.044041,7.139305,0.828476,1.249189
-1.031734,7.188397,0.819748,1.231528
-1.019552,7.236986,0.821704,1.211229
-1.007345,7.285679,0.83406,1.208933
-0.99497,7.335039,0.84001,1.189299
-0.982597,7.384333,0.852038,1.177058
-0.970288,7.432982,0.855001,1.171756
-0.958021,7.481286,0.859005,1.171155
-0.945763,7.528775,0.862047,1.168606
-0.933443,7.576387,0.86513,1.162991
-0.921123,7.623997,0.866231,1.161589
-0.908831,7.671499,0.866255,1.162052
-0.896604,7.718748,0.865555,1.16076
-0.884342,7.766134,0.86413,1.167062
-0.872246,7.812878,0.863255,1.170385
-0.860056,7.859988,0.862256,1.169202
-0.84775,7.907543,0.859605,1.167011
-0.835417,7.955144,0.857887,1.184002
-0.82251,8.003,0.851848,1.190168
-0.808377,8.050314,0.849318,1.195121
-0.792454,8.097424,0.843707,1.194203
-0.774632,8.144043,0.846017,1.194004
-0.755092,8.189857,0.846724,1.183027
-0.733331,8.235896,0.848991,1.184517
-0.710084,8.281424,0.857211,1.176225
-0.686859,8.326212,0.862047,1.171068
-0.663922,8.37026,0.864098,1.165686
-0.641247,8.413744,0.867682,1.169154
-0.618469,8.457425,0.867001,1.166988
-0.595519,8.501435,0.864669,1.16487
-0.572452,8.54567,0.865486,1.172002
-0.549613,8.589468,0.862305,1.176083
-0.526757,8.633297,0.861037,1.174691
-0.503544,8.677327,0.85623,1.177072
-0.479006,8.720956,0.850146,1.19506
