0.1821,0.4924,0.2700,0.2700
0.2070,0.5034,0.2700,0.2700
0.2319,0.5146,0.2700,0.2700
0.2566,0.5260,0.2700,0.2700
0.2811,0.5378,0.2700,0.2700
0.3053,0.5503,0.2700,0.2700
0.3292,0.5635,0.2700,0.2700
0.3526,0.5776,0.2700,0.2700
0.3756,0.5927,0.2700,0.2700
0.3979,0.6091,0.2700,0.2700
0.4196,0.6267,0.2700,0.2700
0.4405,0.6456,0.2700,0.2700
0.4605,0.6660,0.2700,0.2700
0.4796,0.6879,0.2700,0.2700
0.4977,0.7114,0.2700,0.2700
0.5148,0.7363,0.2700,0.2700
0.5307,0.7627,0.2700,0.2700
0.5453,0.7906,0.2700,0.2700
0.5588,0.8199,0.2700,0.2700
0.5709,0.8505,0.2700,0.2700
0.5817,0.8823,0.2700,0.2700
0.5911,0.9151,0.2700,0.2700
0.5991,0.9490,0.2700,0.2700
0.6057,0.9836,0.2700,0.2700
0.6109,1.0189,0.2700,0.2700
0.6147,1.0547,0.2700,0.2700
0.6171,1.0909,0.2700,0.2700
0.6181,1.1272,0.2700,0.2700
0.6177,1.1635,0.2700,0.2700
0.6159,1.1997,0.2700,0.2700
0.6128,1.2356,0.2700,0.2700
0.6083,1.2711,0.2700,0.2700
0.6026,1.3060,0.2700,0.2700
0.5956,1.3403,0.2700,0.2700
0.5874,1.3738,0.2700,0.2700
0.5780,1.4064,0.2700,0.2700
0.5674,1.4382,0.2700,0.2700
0.5557,1.4690,0.2700,0.2700
0.5429,1.4988,0.2700,0.2700
0.5289,1.5276,0.2700,0.2700
0.5139,1.5554,0.2700,0.2700
0.4979,1.5821,0.2700,0.2700
0.4808,1.6079,0.2700,0.2700
0.4627,1.6326,0.2700,0.2700
0.4436,1.6565,0.2700,0.2700
0.4235,1.6794,0.2700,0.2700
0.4025,1.7015,0.2700,0.2700
0.3805,1.7227,0.2700,0.2700
0.3576,1.7432,0.2700,0.2700
0.3337,1.7630,0.2700,0.2700
0.3090,1.7820,0.2700,0.2700
0.2834,1.8004,0.2700,0.2700
0.2570,1.8181,0.2700,0.2700
0.2297,1.8352,0.2700,0.2700
0.2017,1.8516,0.2700,0.2700
0.1729,1.8674,0.2700,0.2700
0.1434,1.8826,0.2700,0.2700
0.1132,1.8970,0.2700,0.2700
0.0824,1.9107,0.2700,0.2700
0.0511,1.9237,0.2700,0.2700
0.0192,1.9358,0.2700,0.2700
-0.0131,1.9470,0.2700,0.2700
-0.0458,1.9573,0.2700,0.2700
-0.0788,1.9666,0.2700,0.2700
-0.1120,1.9748,0.2700,0.2700
-0.1455,1.9818,0.2700,0.2700
-0.1790,1.9876,0.2700,0.2700
-0.2126,1.9921,0.2700,0.2700
-0.2462,1.9952,0.2700,0.2700
-0.2797,1.9970,0.2700,0.2700
-0.3131,1.9974,0.2700,0.2700
-0.3462,1.9962,0.2700,0.2700
-0.3791,1.9936,0.2700,0.2700
-0.4117,1.9896,0.2700,0.2700
-0.4439,1.9840,0.2640,0.2700
-0.4758,1.9770,0.2530,0.2700
