0.934859,-1.066286,0.444288,0.488512
0.932471,-1.098573,0.552670,0.602638
0.928419,-1.135047,0.660060,0.716173
0.922783,-1.172191,0.766871,0.821655
0.915321,-1.210617,0.760729,0.800408
0.907370,-1.245166,0.755038,0.774709
0.901866,-1.268678,0.749800,0.749229
0.897636,-1.286100,0.801564,0.732566
0.892078,-1.307107,0.797126,0.720376
0.884351,-1.333526,0.792906,0.693960
0.874579,-1.363417,0.788407,0.676287
0.863092,-1.394813,0.783403,0.661370
0.849520,-1.428036,0.777985,0.722234
0.832969,-1.464290,0.772234,0.793552
0.813948,-1.501541,0.709616,0.834927
0.793534,-1.537443,0.703410,0.785797
0.770402,-1.574141,0.697038,0.736385
0.745221,-1.610208,0.690561,0.679832
0.719234,-1.643946,0.684039,0.623657
0.690834,-1.677469,0.677430,0.492592
0.660232,-1.710276,0.670761,0.355605
0.628674,-1.741007,0.664055,0.240564
0.594563,-1.771164,0.657241,0.216584
0.558407,-1.800075,0.650352,0.207757
0.521245,-1.826876,0.643414,0.205436
0.481060,-1.852888,0.636363,0.204563
0.439851,-1.876646,0.629260,0.204451
0.397693,-1.898155,0.622105,0.202849
0.352468,-1.918339,0.614884,0.352862
0.307599,-1.935587,0.607671,0.514221
0.261093,-1.950729,0.600430,0.514615
0.213709,-1.963433,0.593162,0.515009
0.167260,-1.973320,0.585919,0.515401
0.118844,-1.981025,0.578634,0.515794
0.070490,-1.986127,0.571362,0.677062
0.022193,-1.988678,0.564090,0.688383
-0.027930,-1.988671,0.556765,0.688612
-0.076220,-1.986088,0.549432,0.841486
-0.125002,-1.980902,0.542049,0.990707
-0.174455,-1.972958,0.534619,1.137341
-0.222723,-1.962519,0.527828,1.137736
-0.272044,-1.949027,0.523915,0.977259
-0.320093,-1.932999,0.522826,0.816818
-0.367578,-1.914210,0.524515,0.656415
-0.414614,-1.892513,0.527256,0.504335
-0.458910,-1.869037,0.531884,0.355907
-0.502318,-1.842921,0.539615,0.209230
-0.543642,-1.814893,0.548200,0.210426
-0.582472,-1.785417,0.559531,0.211074
-0.621176,-1.752633,0.599488,0.222785
-0.657189,-1.718612,0.637820,0.234635
-0.690951,-1.683136,0.645521,0.253366
-0.722964,-1.645719,0.646738,0.279792
-0.752560,-1.607179,0.643976,0.315858
-0.780798,-1.566071,0.638100,0.359308
-0.806243,-1.524435,0.629773,0.406858
-0.829692,-1.481073,0.655617,0.443266
-0.851301,-1.435412,0.677262,0.489748
-0.869560,-1.390806,0.723973,0.535646
-0.886042,-1.343572,0.778361,0.574465
-0.900050,-1.295155,0.836655,0.606597
-0.911096,-1.247534,0.885706,0.641350
-0.919760,-1.198466,0.934526,0.672505
-0.925673,-1.150025,0.919847,0.702119
-0.928973,-1.102519,0.901278,0.700584
-0.929829,-1.054769,0.885136,0.687012
-0.928255,-1.007601,0.867001,0.672238
-0.924119,-0.959018,0.841194,0.654039
-0.917472,-0.910959,0.816992,0.613166
-0.908315,-0.863284,0.791268,0.547852
-0.896062,-0.813887,0.761538,0.481726
-0.881271,-0.765702,0.736524,0.435583
-0.863596,-0.717662,0.710916,0.392414
-0.843941,-0.672069,0.681150,0.347755
-0.820106,-0.624231,0.653791,0.308358
-0.794527,-0.579465,0.634376,0.282453
-0.766482,-0.536164,0.614267,0.281302
-0.735607,-0.493883,0.597087,0.282525
-0.703236,-0.454392,0.583195,0.284644
-0.669310,-0.417339,0.570944,0.290805
-0.632686,-0.381483,0.536357,0.315761
-0.595225,-0.348619,0.490877,0.346253
-0.556154,-0.317891,0.446276,0.376833
-0.514469,-0.288615,0.405809,0.422716
-0.472269,-0.262284,0.366225,0.473915
-0.429071,-0.238439,0.327417,0.532522
-0.384387,-0.216799,0.293361,0.618381
-0.338529,-0.197549,0.271983,0.680835
-0.292065,-0.180907,0.272843,0.774524
-0.245191,-0.166874,0.274804,0.884390
-0.196551,-0.155093,0.270946,0.978215
-0.148008,-0.146062,0.274111,1.065661
-0.101945,-0.139949,0.271003,1.143234
-0.053906,-0.136046,0.260158,1.171470
-0.004983,-0.134639,0.273435,1.188631
0.042166,-0.135736,0.282482,1.163412
0.090044,-0.139310,0.293992,1.117416
0.138108,-0.145422,0.309604,1.061765
0.185198,-0.153917,0.319453,1.021183
0.231128,-0.164662,0.425611,0.990158
0.277217,-0.177967,0.535719,0.976670
0.323256,-0.193891,0.634446,0.973048
0.368282,-0.212167,0.730150,0.969837
0.412209,-0.232738,0.824550,0.966647
0.457070,-0.256742,0.916167,0.958596
0.500145,-0.282915,1.005122,0.927530
0.540720,-0.310664,1.004515,0.882116
0.580869,-0.341404,1.006052,0.831723
0.618853,-0.373902,1.009112,0.790817
0.654523,-0.407898,1.012206,0.755290
0.688718,-0.444162,1.015290,0.682979
0.721387,-0.482795,1.021500,0.617660
0.751468,-0.522554,1.029364,0.553199
0.778433,-0.562424,1.039322,0.486514
0.803705,-0.604358,0.894092,0.392185
0.826752,-0.647613,0.748413,0.296206
0.846851,-0.690599,0.601923,0.196038
0.934859,-1.066286,0.444288,0.488512
