# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4296,0.5581,0.6984,0.8000
-1.4085,0.5273,0.6824,0.8000
-1.3862,0.4974,0.6890,0.8000
-1.3627,0.4684,0.6934,0.8000
-1.3380,0.4404,0.6975,0.8000
-1.3122,0.4136,0.6974,0.8000
-1.2854,0.3880,0.6915,0.7785
-1.2575,0.3637,0.6871,0.7577
-1.2285,0.3408,0.6804,0.7343
-1.1985,0.3194,0.6714,0.7108
-1.1675,0.2995,0.6602,0.6873
-1.1355,0.2814,0.6482,0.6601
-1.1025,0.2649,0.6377,0.6361
-1.0685,0.2502,0.6268,0.6156
-1.0337,0.2372,0.6156,0.5977
-0.9980,0.2260,0.6189,0.5714
-0.9615,0.2165,0.6215,0.5454
-0.9242,0.2087,0.6261,0.5238
-0.8864,0.2026,0.6331,0.5023
-0.8479,0.1979,0.6421,0.4824
-0.8090,0.1947,0.6558,0.4742
-0.7698,0.1928,0.6720,0.4692
-0.7303,0.1919,0.6858,0.4658
-0.6907,0.1920,0.6999,0.4622
-0.6511,0.1927,0.7020,0.4713
-0.6117,0.1941,0.7047,0.4802
-0.5725,0.1957,0.7073,0.4874
-0.5337,0.1974,0.7154,0.4915
-0.4954,0.1990,0.7232,0.4963
-0.4577,0.2003,0.7285,0.5026
-0.4207,0.2011,0.7313,0.5055
-0.3844,0.2012,0.7355,0.5049
-0.3490,0.2004,0.7386,0.5013
-0.3145,0.1986,0.7413,0.4976
-0.2809,0.1958,0.7437,0.4959
-0.2482,0.1917,0.7491,0.4917
-0.2163,0.1865,0.7489,0.4905
-0.1853,0.1800,0.7455,0.4862
-0.1551,0.1722,0.7435,0.4817
-0.1256,0.1633,0.7411,0.4716
-0.0967,0.1533,0.7399,0.4635
-0.0682,0.1423,0.7394,0.4584
-0.0402,0.1305,0.7356,0.4603
-0.0124,0.1180,0.7293,0.4594
0.0153,0.1051,0.7177,0.4622
