# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1913,0.4649,0.8000,0.7516
-1.1726,0.4397,0.7993,0.7469
-1.1528,0.4151,0.7871,0.7435
-1.1321,0.3909,0.7657,0.7406
-1.1104,0.3673,0.7484,0.7356
-1.0878,0.3444,0.7432,0.7336
-1.0643,0.3221,0.7172,0.7293
-1.0399,0.3006,0.7023,0.7257
-1.0148,0.2799,0.6874,0.7222
-0.9889,0.2601,0.6904,0.7196
-0.9623,0.2413,0.6692,0.7164
-0.9351,0.2236,0.6560,0.7119
-0.9073,0.2070,0.6564,0.7079
-0.8789,0.1917,0.6664,0.7042
-0.8500,0.1777,0.6448,0.6987
-0.8206,0.1651,0.6449,0.6946
-0.7909,0.1539,0.6305,0.6883
-0.7609,0.1443,0.6126,0.6821
-0.7306,0.1362,0.5936,0.6757
-0.7000,0.1296,0.5957,0.6682
-0.6693,0.1246,0.5910,0.6608
-0.6385,0.1212,0.5854,0.6540
-0.6076,0.1192,0.5729,0.6464
-0.5767,0.1187,0.5852,0.6368
-0.5457,0.1195,0.5878,0.6271
-0.5148,0.1217,0.5941,0.6194
-0.4839,0.1250,0.6040,0.6093
-0.4531,0.1294,0.6173,0.5996
-0.4223,0.1348,0.6282,0.5919
-0.3917,0.1410,0.6367,0.5861
-0.3611,0.1478,0.6481,0.5729
-0.3306,0.1552,0.6624,0.5587
-0.3002,0.1629,0.6737,0.5468
-0.2698,0.1709,0.6860,0.5310
-0.2395,0.1791,0.6980,0.5148
-0.2093,0.1872,0.7098,0.5010
-0.1790,0.1952,0.7300,0.4812
-0.1488,0.2031,0.7502,0.4614
-0.1185,0.2106,0.7705,0.4416
-0.0882,0.2179,0.7854,0.4285
-0.0579,0.2248,0.7925,0.4217
-0.0275,0.2313,0.7936,0.4153
0.0030,0.2375,0.7961,0.4140
0.0336,0.2434,0.7986,0.4126
0.0642,0.2489,0.7965,0.4075
