# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4500,0.3668,1.0362,0.8209
-1.4339,0.3424,1.0214,0.8113
-1.4170,0.3190,1.0066,0.8018
-1.3994,0.2964,0.9902,0.7910
-1.3810,0.2748,0.9731,0.7782
-1.3619,0.2540,0.9556,0.7695
-1.3420,0.2342,0.9440,0.7603
-1.3214,0.2151,0.9294,0.7488
-1.3000,0.1969,0.9164,0.7378
-1.2779,0.1794,0.8974,0.7282
-1.2551,0.1626,0.8781,0.7176
-1.2316,0.1466,0.8677,0.7080
-1.2074,0.1311,0.8549,0.6994
-1.1824,0.1163,0.8387,0.6890
-1.1568,0.1021,0.8237,0.6792
-1.1305,0.0885,0.8242,0.6698
-1.1035,0.0754,0.8247,0.6603
-1.0759,0.0630,0.8079,0.6497
-1.0478,0.0512,0.7967,0.6404
-1.0191,0.0400,0.7855,0.6312
-0.9899,0.0295,0.7771,0.6225
-0.9603,0.0198,0.7626,0.6150
-0.9303,0.0109,0.7482,0.6074
-0.9000,0.0029,0.7450,0.5998
-0.8695,-0.0041,0.7429,0.5933
-0.8388,-0.0100,0.7423,0.5880
-0.8080,-0.0148,0.7294,0.5846
-0.7772,-0.0182,0.7160,0.5804
-0.7464,-0.0204,0.7199,0.5775
-0.7158,-0.0211,0.7184,0.5754
-0.6855,-0.0203,0.7141,0.5729
-0.6554,-0.0180,0.7090,0.5713
-0.6256,-0.0140,0.7091,0.5691
-0.5963,-0.0084,0.7090,0.5656
-0.5675,-0.0011,0.7020,0.5620
-0.5392,0.0078,0.7011,0.5576
-0.5114,0.0184,0.7002,0.5532
-0.4842,0.0305,0.6967,0.5487
-0.4575,0.0442,0.6937,0.5449
-0.4315,0.0593,0.6908,0.5382
-0.4061,0.0758,0.6907,0.5314
-0.3812,0.0934,0.6948,0.5237
-0.3569,0.1121,0.6996,0.5146
-0.3331,0.1317,0.7121,0.5044
-0.3098,0.1520,0.7247,0.4956
-0.2870,0.1728,0.7373,0.4868
-0.2645,0.1940,0.7460,0.4794
-0.2423,0.2154,0.7630,0.4673
-0.2204,0.2367,0.7800,0.4551
-0.1987,0.2578,0.7949,0.4429
-0.1771,0.2785,0.8057,0.4353
-0.1556,0.2986,0.8164,0.4276
-0.1341,0.3181,0.8258,0.4213
-0.1125,0.3368,0.8368,0.4144
-0.0909,0.3545,0.8392,0.4078
-0.0691,0.3712,0.8417,0.4013
-0.0472,0.3869,0.8441,0.3948
-0.0251,0.4014,0.8466,0.3882
-0.0027,0.4149,0.8407,0.3864
0.0199,0.4273,0.8349,0.3846
0.0427,0.4387,0.8265,0.3890
0.0657,0.4492,0.8213,0.3902
0.0889,0.4589,0.8158,0.3923
0.1122,0.4679,0.8108,0.3950
0.1357,0.4763,0.8039,0.3960
0.1592,0.4843,0.7957,0.3955
