0.000000,0.011790,0.000038,0.003111,0.000000,1.000,0.0
0.005786,0.017576,0.000056,0.003111,-1.680511,1.000,0.0
0.010971,0.022761,0.000044,-0.002314,-10.105295,1.000,0.0
0.025733,0.037522,-0.000126,-0.011516,-2.923354,1.000,0.0
0.046446,0.058227,-0.000683,-0.026895,-0.951817,1.000,0.0
0.070391,0.082157,-0.001531,-0.035422,0.468203,1.000,0.0
0.099394,0.111147,-0.002424,-0.030794,1.507168,1.000,0.0
0.130114,0.141865,-0.002736,-0.010157,2.275088,1.000,0.0
0.163946,0.175689,-0.002006,0.021579,2.578065,1.000,0.0
0.202715,0.214389,0.000305,0.059645,2.108362,1.000,0.0
0.241220,0.252699,0.004180,0.100806,2.207781,1.000,0.0
0.280749,0.291829,0.009783,0.142223,2.187964,1.000,0.0
0.321054,0.331449,0.017183,0.184647,2.162544,1.000,0.0
0.361857,0.371198,0.026394,0.227710,2.104904,1.000,0.0
0.402321,0.410185,0.037227,0.271025,2.260847,1.000,0.0
0.444587,0.450374,0.050315,0.314830,2.128952,1.000,0.0
0.486867,0.489946,0.065202,0.359823,2.244581,1.000,0.0
0.530784,0.530301,0.082527,0.405520,2.056210,1.000,0.0
0.573656,0.568872,0.101244,0.451787,2.076121,1.000,0.0
0.615785,0.605902,0.121334,0.497092,2.194422,1.000,0.0
0.658854,0.642791,0.143563,0.542323,2.181589,1.000,0.0
0.702690,0.679253,0.167897,0.588496,1.197903,1.000,0.0
0.732590,0.703466,0.185440,0.626999,0.781881,1.000,0.0
0.748827,0.716406,0.195247,0.648527,1.132488,1.000,0.0
0.760354,0.725502,0.202328,0.661477,1.862260,1.000,0.0
0.771943,0.734570,0.209544,0.672153,1.272301,1.000,0.0
0.779853,0.740706,0.214536,0.682954,1.351946,1.000,0.0
0.785257,0.744871,0.217979,0.690781,11.037854,1.000,0.0
0.800780,0.756732,0.227993,0.701164,2.581379,1.000,0.0
0.818577,0.770128,0.239710,0.718640,2.802265,1.000,0.0
0.840144,0.786066,0.254240,0.739219,2.676926,1.000,0.0
0.865495,0.804375,0.271774,0.763779,2.157342,1.000,0.0
0.891088,0.822373,0.289970,0.790869,2.474018,1.000,0.0
0.919553,0.841806,0.310769,0.819338,2.220621,1.000,0.0
0.948917,0.861186,0.332829,0.849980,2.245362,1.000,0.0
0.979434,0.880590,0.356383,0.881705,2.574756,1.000,0.0
1.014327,0.901838,0.384061,0.916072,2.136172,1.000,0.0
1.049313,0.922096,0.412585,0.953252,2.131838,1.000,0.0
1.084352,0.941307,0.441888,0.990496,2.478463,1.000,0.0
1.123401,0.961428,0.475354,1.029468,2.030765,1.000,0.0
1.161154,0.979538,0.508480,1.070490,2.245610,1.000,0.0
1.200368,0.996929,0.543627,1.111311,2.043627,1.000,0.0
1.238486,1.012411,0.578459,1.152545,2.174164,1.000,0.0
1.277186,1.026673,0.614435,1.193370,2.248866,1.000,0.0
1.317502,1.039952,0.652501,1.235154,2.110911,1.000,0.0
1.359567,1.052176,0.692751,1.275947,0.586527,1.000,0.0
1.399115,1.063171,0.730740,1.289069,-0.641105,1.000,0.0
1.441473,1.075428,0.771286,1.277232,-0.746299,1.000,0.0
1.483661,1.088275,0.811470,1.261362,-0.649868,1.000,0.0
1.523174,1.100857,0.848926,1.246725,-0.139877,1.000,0.0
1.561693,1.113226,0.885405,1.243890,1.476481,1.000,0.0
1.602600,1.125320,0.924484,1.270669,1.993265,1.000,0.0
1.642390,1.135480,0.962955,1.312596,2.081939,1.000,0.0
1.681934,1.143975,1.001576,1.354286,2.216335,1.000,0.0
1.722649,1.151021,1.041676,1.396861,2.224998,1.000,0.0
1.764677,1.156471,1.083349,1.440754,2.085774,1.000,0.0
1.806117,1.160013,1.124638,1.485220,2.188113,1.000,0.0
1.848395,1.161751,1.166880,1.529676,2.222981,1.000,0.0
1.892007,1.161557,1.210492,1.575245,2.246607,1.000,0.0
1.937345,1.159219,1.255769,1.622388,2.099951,1.000,0.0
1.982282,1.154749,1.300483,1.670434,2.498546,1.000,0.0
2.032638,1.147236,1.350276,1.720551,2.050350,1.000,0.0
2.081740,1.137350,1.398372,1.773520,2.054555,1.000,0.0
2.131062,1.125006,1.446125,1.823756,2.070957,1.000,0.0
2.179572,1.110443,1.492397,1.875708,1.148817,1.000,0.0
2.228885,1.094355,1.539012,1.903122,-1.528739,1.000,0.0
2.278282,1.080008,1.586280,1.865484,-2.014685,1.000,0.0
2.328254,1.067864,1.634753,1.816275,-1.759714,1.000,0.0
2.375302,1.058574,1.680875,1.769559,-1.781053,1.000,0.0
2.421857,1.051322,1.726862,1.727205,-2.073287,1.000,0.0
2.467559,1.046431,1.772301,1.678022,-2.127813,1.000,0.0
2.513961,1.043680,1.818622,1.630117,-1.761031,1.000,0.0
2.560767,1.042800,1.865419,1.589599,-1.403096,1.000,0.0
2.609544,1.043420,1.914193,1.558085,-0.342473,1.000,0.0
2.658844,1.044454,1.963482,1.549821,-0.000158,1.000,0.0
2.703224,1.045385,2.007852,1.549817,-0.000676,1.000,0.0
2.731841,1.045986,2.036463,1.549817,0.000000,1.000,0.0
5.015827,0.011790,0.000038,0.003111,0.0,1.000,0.0
