x,y,left_wall_m,right_wall_m
-1.155234,0.949166,0.88907,1.169877
-1.158623,0.930675,0.878508,1.223636
-1.162915,0.897287,0.876416,1.286752
-1.164952,0.878865,0.855721,1.296473
-1.166779,0.844791,0.851414,1.26964
-1.167604,0.825583,0.847841,1.256224
-1.167453,0.790583,0.836799,1.24549
-1.166947,0.771832,0.834707,1.239371
-1.164554,0.737806,0.824323,1.231316
-1.162783,0.718879,0.811624,1.230761
-1.158304,0.683267,0.807493,1.226563
-1.155417,0.663731,0.788786,1.225353
-1.148768,0.627638,0.782054,1.226518
-1.144548,0.608184,0.77515,1.229216
-1.134829,0.571736,0.755498,1.225532
-1.128802,0.552165,0.756733,1.165686
-1.116012,0.516511,0.754287,1.141436
-1.108562,0.497773,0.733106,1.135935
-1.093468,0.464111,0.727151,1.097737
-1.084846,0.446341,0.714807,1.078065
-1.068409,0.415326,0.715793,1.07882
-1.059135,0.399041,0.704006,1.047002
-1.041653,0.370662,0.699378,1.008477
-1.031457,0.355052,0.691145,1.010903
-1.01216,0.327505,0.690351,0.973186
-1.0009,0.312549,0.689766,0.948051
-0.980797,0.287815,0.681652,0.935571
-0.969354,0.274648,0.675041,0.945704
-0.948023,0.252108,0.664037,0.909234
-0.935319,0.239581,0.659255,0.885052
-0.911124,0.217403,0.647037,0.873683
-0.897384,0.205431,0.649748,0.876522
-0.87218,0.184662,0.668599,0.83898
-0.857604,0.173455,0.664483,0.824059
-0.829737,0.153158,0.671733,0.821736
-0.813516,0.142133,0.677814,0.802841
-0.783183,0.122583,0.687216,0.773683
-0.766318,0.112556,0.696432,0.78032
-0.735621,0.095526,0.704477,0.783368
-0.717934,0.086576,0.701955,0.756637
-0.685956,0.071621,0.702672,0.749537
-0.667449,0.063761,0.699378,0.743318
-0.634523,0.051256,0.696432,0.730142
-0.61547,0.044767,0.699566,0.716733
-0.581349,0.034623,0.695076,0.723263
-0.561901,0.029483,0.692693,0.680077
-0.528442,0.022244,0.69096,0.727838
-0.509467,0.018828,0.685131,0.682728
-0.476316,0.014541,0.685676,0.685823
-0.457134,0.01277,0.679171,0.659947
-0.424307,0.011454,0.677997,0.662518
-0.406024,0.011431,0.675115,0.662961
-0.375119,0.012832,0.668415,0.677833
-0.357133,0.014367,0.658964,0.677499
-0.324914,0.017901,0.652694,0.657165
-0.307024,0.020511,0.652511,0.645522
-0.275952,0.025327,0.644976,0.649049
-0.25884,0.028766,0.634255,0.704222
-0.228725,0.034757,0.63347,0.657986
-0.211229,0.039062,0.619763,0.673077
-0.17903,0.046754,0.6172,0.6878
-0.161124,0.052167,0.614496,0.67993
-0.128868,0.062254,0.592868,0.719585
-0.111075,0.06915,0.585055,0.695141
-0.078307,0.08247,0.578195,0.714857
-0.06045,0.091181,0.561032,0.743425
-0.028408,0.107109,0.554109,0.76058
