x_m,y_m
0.5847,0.0368
0.6092,0.0434
0.6331,0.0517
0.6565,0.0618
0.6793,0.0737
0.7014,0.0876
0.7230,0.1022
0.7440,0.1176
0.7645,0.1338
0.7843,0.1506
0.8036,0.1682
0.8223,0.1865
0.8403,0.2053
0.8577,0.2247
0.8744,0.2448
0.8906,0.2653
0.9060,0.2864
0.9207,0.3079
0.9346,0.3300
0.9478,0.3525
0.9601,0.3754
0.9715,0.3988
0.9820,0.4227
0.9917,0.4469
1.0005,0.4714
1.0084,0.4963
1.0154,0.5214
1.0216,0.5468
1.0269,0.5723
1.0313,0.5980
1.0349,0.6239
1.0376,0.6498
1.0395,0.6758
1.0405,0.7019
1.0406,0.7280
1.0399,0.7541
1.0383,0.7801
1.0358,0.8061
1.0324,0.8320
1.0282,0.8577
1.0231,0.8833
1.0171,0.9086
1.0101,0.9337
1.0022,0.9586
0.9933,0.9831
0.9835,1.0072
0.9729,1.0310
0.9613,1.0543
0.9488,1.0772
0.9355,1.0997
0.9215,1.1216
0.9066,1.1431
0.8911,1.1640
0.8749,1.1845
0.8580,1.2044
0.8405,1.2237
0.8223,1.2425
0.8036,1.2607
0.7843,1.2783
0.7645,1.2952
0.7441,1.3115
0.7232,1.3272
0.7018,1.3421
0.6799,1.3562
0.6575,1.3696
0.6346,1.3821
0.6114,1.3939
0.5877,1.4049
0.5637,1.4150
0.5393,1.4242
0.5146,1.4326
0.4896,1.4402
0.4644,1.4469
0.4390,1.4528
0.4134,1.4580
0.3877,1.4623
0.3618,1.4658
0.3358,1.4685
0.3098,1.4705
0.2837,1.4718
0.2575,1.4724
0.2314,1.4723
0.2053,1.4716
0.1792,1.4702
0.1531,1.4684
0.1270,1.4663
0.1009,1.4637
0.0749,1.4608
0.0489,1.4575
0.0230,1.4539
-0.0029,1.4500
-0.0287,1.4456
-0.0544,1.4408
-0.0799,1.4354
-0.1054,1.4293
-0.1306,1.4226
-0.1557,1.4153
-0.1806,1.4073
-0.2052,1.3986
-0.2296,1.3893
-0.2538,1.3793
-0.2776,1.3687
-0.3012,1.3574
-0.3245,1.3455
-0.3474,1.3329
-0.3699,1.3197
-0.3920,1.3058
-0.4136,1.2913
-0.4348,1.2760
-0.4554,1.2600
-0.4755,1.2434
-0.4949,1.2260
-0.5137,1.2079
-0.5317,1.1891
-0.5491,1.1697
-0.5656,1.1495
-0.5814,1.1288
-0.5964,1.1075
-0.6105,1.0856
-0.6238,1.0632
-0.6363,1.0403
-0.6480,1.0170
-0.6588,0.9932
-0.6688,0.9692
-0.6779,0.9447
-0.6862,0.9200
-0.6936,0.8950
-0.7001,0.8697
-0.7058,0.8443
-0.7105,0.8186
-0.7144,0.7928
-0.7174,0.7669
-0.7196,0.7409
-0.7209,0.7148
-0.7214,0.6887
-0.7210,0.6626
-0.7199,0.6366
-0.7178,0.6105
-0.7149,0.5846
-0.7110,0.5588
-0.7063,0.5332
-0.7007,0.5077
-0.6941,0.4825
-0.6867,0.4575
-0.6783,0.4328
-0.6691,0.4084
-0.6591,0.3843
-0.6483,0.3606
-0.6367,0.3372
-0.6242,0.3143
-0.6111,0.2918
-0.5971,0.2697
-0.5825,0.2481
-0.5671,0.2270
-0.5511,0.2064
-0.5344,0.1863
-0.5170,0.1669
-0.4989,0.1482
-0.4801,0.1302
-0.4607,0.1128
-0.4406,0.0967
-0.4194,0.0828
-0.3974,0.0709
-0.3745,0.0610
-0.3509,0.0530
-0.3265,0.0469
-0.3017,0.0423
-0.2764,0.0394
-0.2504,0.0381
-0.2242,0.0376
-0.1981,0.0372
-0.1719,0.0367
-0.1457,0.0362
-0.1195,0.0358
-0.0933,0.0353
-0.0671,0.0349
-0.0409,0.0344
-0.0147,0.0340
0.0115,0.0335
0.0377,0.0330
0.0639,0.0326
0.0900,0.0321
0.1162,0.0317
0.1424,0.0312
0.1686,0.0307
0.1948,0.0303
0.2210,0.0298
0.2472,0.0294
0.2734,0.0289
0.2996,0.0285
0.3258,0.0280
0.3520,0.0275
0.3782,0.0271
0.4043,0.0266
0.4305,0.0262
0.4567,0.0257
0.4829,0.0252
0.5088,0.0261
0.5345,0.0282
0.5598,0.0317
